# Adapted from ids-cdp.txt at https://github.com/cjkvi/cjkvi-ids (commit 86b4d16)
# Copyright (c) 2014-2018 CJKVI Database
# Based on CHISE IDS Database
U+6B34	欴	^⿰&CDP-8C42;欠$
U+6B3E	款	^⿰&CDP-8C6A;欠$
U+6B4E	歎	^⿰&CDP-8BD3;欠$
U+6B63	正	^⿱&CDP-87FD;一$
U+6B64	此	^⿰&CDP-8960;匕$
U+6B66	武	^⿹&CDP-8CB8;止$
U+6B67	歧	^⿰&CDP-8960;支$
U+6B6B	歫	^⿰&CDP-8960;巨$
U+6B6D	歭	^⿰&CDP-8960;寺$
U+6B71	歱	^⿰&CDP-8960;重$
U+6B72	歲	^⿱止&CDP-8CB3;$
U+6B75	歵	^⿰&CDP-8960;責$
U+6B78	歸	^⿰&CDP-8CAB;帚$
U+6B7F	歿	^⿰歹&CDP-8BA1;$
U+6BB5	段	^⿰&CDP-8CE4;殳$
U+6BC0	毀	^⿰&CDP-8DB4;殳$
U+6BDB	毛	^⿱丿&CDP-8A43;$
U+6BEB	毫	^⿱&CDP-8C4D;毛$
U+6BFB	毻	^⿰&CDP-8CA9;毛$
U+6C18	氘	^⿹气&CDP-8BF5;$
U+6C34	水	^⿲㇇亅&CDP-85BF;$
U+6C3A	氺	^⿻亅&CDP-89AE;$
U+6C42	求	^⿺&CDP-85DC;丶$
U+6C92	沒	^⿰氵&CDP-8BA1;$
U+6E0B	渋	^⿰氵⿱止&CDP-89AE;$
U+6F22	漢	^⿰氵&CDP-8BD3;$
U+6F9A	澚	^⿰氵⿱⿵&CDP-8BD6;米丂$
U+7075	灵	^⿱&CDP-8BAB;火$
U+7099	炙	^⿱&CDP-8B5E;火$	^⿱&CDP-88F0;火$
U+70C9	烉	^⿱&CDP-8CAF;火$
U+70CF	烏	^⿹&CDP-89DF;灬$
U+7109	焉	^⿱正&CDP-8DBF;$
U+7121	無	^⿱&CDP-8BBE;灬$
U+7136	然	^⿱&CDP-8BB5;灬$
U+719C	熜	^⿰火&CDP-8BDD;$
U+71AF	熯	^⿰火&CDP-8BD3;$
U+71D5	燕	^⿳廿&CDP-8D76;灬$
U+7202	爂	^⿱⿶&CDP-8B64;同火$	^⿱⿶&CDP-8B64;&CDP-8DE1;火$	^⿱⿶&CDP-8B64;⿵𠔼&CDP-8C78;火$
U+7228	爨	^⿱⿶&CDP-8B64;同𤍾$	^⿱⿶&CDP-8B64;&CDP-8DE1;𤍾$	^⿱⿶&CDP-8B64;⿵𠔼&CDP-8C78;𤍾$
U+722D	爭	^⿱爫&CDP-8BFE;$
U+7231	爱	^⿱&CDP-8BB8;友$
U+723E	爾	^⿱一&CDP-88D6;$
U+727D	牽	^⿱&CDP-89FE;牛$
U+7280	犀	^⿸尸&CDP-8D6F;$
U+7387	率	^⿱⿻玄&CDP-89AE;十$
U+7388	玈	^⿰玄&CDP-8D55;$
U+73ED	班	^⿲𤣩&CDP-8BEA;王$
U+7474	瑴	^⿰⿱&CDP-8D44;王殳$
U+7481	璁	^⿰𤣩&CDP-8BDD;$
U+74BA	璺	^⿱⿶&CDP-8B64;同玉$
U+750D	甍	^⿱&CDP-8D60;瓦$
U+751A	甚	^⿱&CDP-88C8;匹$
U+7522	產	^⿱文&CDP-8C45;$
U+7528	用	^⿵冂&CDP-8BF1;$
U+7529	甩	^⿵冂&CDP-8A43;$
U+752B	甫	^⿺&CDP-86B7;丶$
U+754F	畏	^⿳田一&CDP-8CC6;$
U+7559	留	^⿱&CDP-8C69;田$
U+7562	畢	^⿻&CDP-87C5;一$
U+756B	畫	^⿳&CDP-8BC6;田一$
U+7575	畵	^⿱&CDP-8BC6;⿶凵田$
U+757A	畺	^⿳&CDP-8D5E;&CDP-8D5E;一$
U+757F	畿	^⿹&CDP-8BA4;田$
U+7582	疂	^⿳田&CDP-89AE;冝$
U+7586	疆	^⿰&CDP-8DB8;畺$
U+7588	疈	^⿲畐&CDP-8BEA;畐$
U+7590	疐	^⿳&CDP-8D52;田疋$
U+7591	疑	^⿰𠤕&CDP-8CCE;$
U+7596	疖	^⿸疒&CDP-8A60;$
U+759F	疟	^⿸疒&CDP-8DC1;$
U+761D	瘝	^⿸疒⿱罒&CDP-85F8;$
U+7676	癶	^⿰&CDP-88D3;&CDP-88D5;$
U+767A	発	^⿱癶&CDP-89FD;$
U+76CA	益	^⿱&CDP-8CF0;皿$	^⿱&CDP-8864;皿$
U+76D1	监	^⿱⿰〢&CDP-89BC;皿$
U+76E3	監	^⿱⿰臣&CDP-89BC;皿$	^⿱&CDP-8CC9;皿$
U+76E7	盧	^⿸虍&CDP-8CF4;$
U+76F4	直	^⿱十&CDP-8BA5;$
U+7714	眔	^⿱罒&CDP-8977;$
U+773E	眾	^⿱罒&CDP-8C76;$
U+7740	着	^⿸&CDP-8CCC;目$
U+7789	瞉	^⿰⿱&CDP-8D44;目殳$
U+77A2	瞢	^⿱&CDP-8D60;目$
U+7963	祣	^⿰礻&CDP-8D55;$	^⿰示&CDP-8D55;$
U+796D	祭	^⿱&CDP-8C4F;示$
U+79C9	秉	^⿻禾&CDP-8BAB;$
U+7A01	稁	^⿱&CDP-8C4D;禾$
U+7A6F	穯	^⿰禾⿱&CDP-88A5;回$
U+7AC3	竃	^⿳穴土&CDP-89BD;$
U+7ACA	竊	^⿱穴⿰釆&CDP-8ACE;$
U+7ACB	立	^⿱&CDP-8BAE;一$
U+7AD2	竒	^⿱&CDP-8BAE;可$
U+7ADC	竜	^⿱立&CDP-8BE8;$
U+7CA4	粤	^⿱⿴&CDP-8CC8;米丂$	^⿱⿵&CDP-8BD6;米亏$
U+7CB1	粱	^⿱&CDP-8DBC;米$
U+7CB5	粵	^⿱&CDP-8DB9;丂$
U+7CD3	糓	^⿰⿱&CDP-8D44;米殳$
U+7CF9	糹	^⿱幺&CDP-885E;$
U+7D22	索	^⿱&CDP-8D52;糸$
U+7D55	絕	^⿰糹&CDP-8CEA;$
U+7D5B	絛	^⿰&CDP-8B7A;⿱夂糸$	^⿰&CDP-8B7A;⿱攵糸$
U+7DC3	緃	^⿰糹&CDP-8BB0;$	^⿰糸&CDP-8BB0;$
U+7E04	縄	^⿰糹&CDP-89BD;$	^⿰糸&CDP-89BD;$
U+7E20	縠	^⿰⿱&CDP-8D44;糸殳$
U+7E23	縣	^⿰&CDP-8C6D;系$
U+7E6D	繭	^⿱卝&CDP-8DDC;$	^⿱艹&CDP-8DDC;$
U+7F7D	罽	^⿱罒&CDP-8AD6;$
U+7F8A	羊	^⿱䒑&CDP-8BF1;$
U+7F8B	羋	^⿱⿴卝丨&CDP-8BF1;$
U+7F9E	羞	^⿸&CDP-8CCC;丑$
U+7FB2	羲	^⿱𦍌&CDP-8DBA;$
U+7FBD	羽	^⿰⿹𠃌&CDP-89A6;⿹𠃌&CDP-89A6;$
U+7FDB	翛	^⿰&CDP-8B7A;⿱夂羽$	^⿰&CDP-8B7A;⿱攵羽$
U+7FE4	翤	^⿰&CDP-8DBB;羽$
U+805A	聚	^⿱取&CDP-8C76;$
U+8070	聰	^⿰耳&CDP-8BDD;$
U+807C	聼	^⿰&CDP-8C5B;𢛳$
U+807D	聽	^⿰&CDP-8BD1;𢛳$
U+8080	肀	^⿻&CDP-8BAB;丨$
U+8103	脃	^⿰⺼&CDP-8CEA;$	^⿰月&CDP-8CEA;$
U+810A	脊	^⿱&CDP-88D2;月$	^⿱&CDP-88D2;⺼$
U+8129	脩	^⿰&CDP-8B7A;𡕙$	^⿰&CDP-8B7A;⿱攵⺼$	^⿰&CDP-8B7A;⿱攵月$
U+81E6	臦	^⿰&CDP-8AF2;臣$
U+81E8	臨	^⿰臣&CDP-8CFD;$
U+81EE	臮	^⿱自&CDP-8C76;$
U+8203	舃	^⿱臼&CDP-8DBF;$
U+8204	舄	^⿱臼&CDP-8C40;$	^⿱𦥑&CDP-8C40;$
U+8206	舆	^⿶&CDP-8BA8;车$
U+8207	與	^⿶&CDP-8BA8;&CDP-8BC2;$
U+8208	興	^⿶&CDP-8BA8;同$
U+8209	舉	^⿱與&CDP-8BF1;$
U+820B	舋	^⿱⿶&CDP-8B64;同且$
U+821C	舜	^⿱&CDP-8BB8;舛$
U+821E	舞	^⿱&CDP-8BBE;舛$
U+8271	艱	^⿰&CDP-8BD3;艮$
U+8282	节	^⿱艹&CDP-8A60;$
U+8288	芈	^⿱卝&CDP-8BF1;$
U+82BB	芻	^⿱&CDP-8D65;&CDP-8D65;$
U+8330	茰	^⿱艹&CDP-89E7;$
U+83B5	莵	^⿱艹⿷⿱丿&CDP-8BCB;丶$
U+83EB	菫	^⿳艹一&CDP-8A6D;$
U+83EF	華	^⿱艹&CDP-8BF8;$
U+8525	蔥	^⿱艹&CDP-8BDD;$
U+8550	蕐	^⿳艹一&CDP-85A1;$
U+858E	薎	^⿱&CDP-8D60;伐$
U+85A8	薨	^⿱&CDP-8D60;死$
U+8609	蘉	^⿱&CDP-8D60;侵$
U+864D	虍	^⿸⿱⺊&CDP-88E2;七$
U+8650	虐	^⿸虍&CDP-8DC1;$	^⿸虍&CDP-89E3;$
U+865B	虛	^⿸虍&CDP-8D6B;$
U+8669	虩	^⿰⿱⺌&CDP-8CED;虎$
U+877F	蝿	^⿰虫&CDP-89BD;$
U+87D7	蟗	^⿱⿳&CDP-8DDD;冖出虫$
U+8839	蠹	^⿱⿳&CDP-8DDD;冖石䖵$
U+884B	衋	^⿳&CDP-8BC6;皕血$
U+8870	衰	^⿳亠&CDP-89EF;𧘇$
U+8885	袅	^⿹&CDP-8964;衣$
U+88CA	裊	^⿹&CDP-8CBB;衣$
U+88E6	裦	^⿳亠⿰&CDP-8CAC;矛𧘇$
U+890E	褎	^⿳亠⿰&CDP-8CAC;禾𧘇$
U+890F	褏	^⿳亠⿰&CDP-8CAC;由𧘇$
U+8931	褱	^⿳亠⿱罒&CDP-8C41;𧘇$
U+8943	襃	^⿳亠⿰&CDP-8CAC;呆𧘇$
U+8944	襄	^⿳亠&CDP-8CA3;𧘇$
U+8980	覀	^⿱一&CDP-86EA;$
U+89A7	覧	^⿱⿰臣&CDP-89BC;見$	^⿱&CDP-8CC9;見$
U+89BD	覽	^⿱&CDP-8D50;見$
U+89C8	览	^⿱⿰〢&CDP-89BC;见$
U+89F3	觳	^⿰⿱&CDP-8D44;角殳$
U+8A67	詧	^⿱&CDP-8C4F;言$
U+8A79	詹	^⿸厃&CDP-8CC3;$
U+8B7C	譼	^⿱&CDP-8D50;言$
U+8C4B	豋	^⿱&CDP-8C4F;豆$
U+8C55	豕	^⿸𬺻&CDP-85BF;$
U+8C56	豖	^⿸&CDP-85F6;&CDP-85BF;$
U+8C6A	豪	^⿱&CDP-8C4D;豕$
U+8C70	豰	^⿰⿱&CDP-8D44;豕殳$
U+8CAE	貮	^⿹&CDP-8CB8;貝$
U+8CBF	貿	^⿱&CDP-8C69;貝$
U+8CD3	賓	^⿱&CDP-8D74;貝$
U+8CEB	賫	^⿳&CDP-8DE9;冖貝$
U+8CF7	賷	^⿳&CDP-88D9;冖貝$
U+8D38	贸	^⿱&CDP-8C69;贝$
U+8D4D	赍	^⿱⿱&CDP-8DE9;冖贝$
U+8D64	赤	^⿱土&CDP-8CB5;$
U+8D71	赱	^⿱土&CDP-8961;$
U+8E28	踨	^⿰𧾷&CDP-8BB0;$
U+8EE3	軣	^⿱車&CDP-89AE;$
U+8F3F	輿	^⿶&CDP-8BA8;車$
U+8F42	轂	^⿰⿱&CDP-8D44;車殳$
U+8FA8	辨	^⿲辛&CDP-8BEA;辛$
U+8FB0	辰	^⿸厂⿱二&CDP-8CC6;$
U+9030	逰	^⿺辶⿰扌&CDP-8C55;$
U+9040	遀	^⿺辶&CDP-8CA9;$
U+90A3	那	^⿰&CDP-89FA;阝$
U+90CE	郎	^⿰&CDP-8C42;阝$
U+90D2	郒	^⿰&CDP-8C42;邑$
U+90F7	郷	^⿲乡&CDP-8B7C;阝$
U+91C1	釁	^⿱⿶&CDP-8B64;同⿱酉分$	^⿱⿶&CDP-8B64;&CDP-8DE1;⿱酉分$	^⿱⿶&CDP-8B64;⿵𠔼&CDP-8C78;⿱酉分$
U+91CC	里	^⿱&CDP-8BD9;一$
U+91D1	金	^⿱人&CDP-8DE3;$
U+91DC	釜	^⿱父&CDP-8DE3;$
U+9253	鉓	^⿰釒&CDP-8DB3;$
U+9274	鉴	^⿱⿰〢&CDP-89BC;金$
U+92C4	鋄	^⿰釒&CDP-8AB9;$
U+9373	鍳	^⿱⿰臣&CDP-89BC;金$	^⿱&CDP-8CC9;金$
U+9452	鑒	^⿱&CDP-8D50;金$
U+9577	長	^⿳&CDP-884A;一&CDP-8CC6;$
U+9578	镸	^⿱&CDP-884A;𠫔$
U+9689	隉	^⿰阝&CDP-8DB4;$
U+968B	隋	^⿰阝&CDP-8CA9;$
U+96B7	隷	^⿰&CDP-8C6A;隶$
U+96CB	雋	^⿱隹&CDP-8DDF;$
U+96CD	雍	^⿱亠&CDP-8DB5;$
U+96DC	雜	^⿰&CDP-8D4F;隹$
U+96E3	難	^⿰&CDP-8BD3;隹$
U+96FB	電	^⿱雨&CDP-8BE8;$
U+9797	鞗	^⿰&CDP-8B7A;⿱夂革$	^⿰&CDP-8B7A;⿱攵革$
U+97F2	韲	^⿱&CDP-8DEB;韭$
